,brand,brand_id
312,Marshall,313
313,Ceci,314
314,BODY SCULPTURE,315
315,GEDI,316
316,Jamlos,317
317,SHIN BASIC,318
318,Gence,319
319,vinada,320
320,LDK.ai,321
321,Aldo,322
322,Valentino Creations,323
323,VOLEBAG,324
324,Gianni Conti,325
325,WT,326
326,MinK,327
327,Elly,328
328,MOYYI,329
329,ELMI,330
330,Smeraldo,331
331,Homme de homme,332
332,VNL,333
333,Cartinoe,334
334,Kinary,335
335,SAIGIO,336
336,williampolo,337
337,Songhan Leather,338
338,Tam Anh,339
339,SUNPOLO,340
340,B21 B21 SHOEMAKER,341
341,PANDAGO,342
342,AUKULASIC,343
343,WAN,344
344,ORCO,345
345,Khacten.com,346
346,zahan,347
347,Đông Hải,348
348,HT.Ne O,349
349,SAM Leather,350
350,PABNO,351
351,LÉMOS,352
352,TigerNu,353
353,NoBrand,354
354,Fancy,355
355,Lavatino,356
356,Kalanos,357
357,TIZINIS,358
358,DUWA,359
359,DONAVY,360
360,VINAGU,361
361,Laceva,362
362,BẢO BẢO STORE,363
363,ENNIU,364
364,NineRed,365
365,LAHstore,366
366,Biti's,367
367,M Masler-MT,368
368,Kito,369
369,Lê Sang,370
370,Mira,371
371,BAZAS,372
372,Udany,373
373,ORSIL,374
374,GIAVY,375
375,Trường Hải,376
376,DETAUNISEX,377
377,GOMTAT,378
378,AROTI A,379
379,ARADO FASHION,380
380,ONOFF,381
381,Hando,382
382,Pettino,383
383,Zoggs,384
384,Thượng Đình,385
385,Urban,386
386,Haint Boutique,387
387,SODOHA,388
388,Happyshoes,389
389,Nachidu,390
390,Hương quế,391
391,Vua Dép Lốp,392
392,Skechers,393
393,KEEDO,394
394,Vento,395
395,Pierre Cardin,396
396,Rubber Soul,397
397,Havaianas,398
398,Gambol,399
399,Rubber,400
400,Adda,401
401,Under Armour,402
402,Deblu,403
403,DEP TRAU,404
404,Casual,405
405,Peak,406
406,Spenco,407
407,Bita's,408
408,Vatis,409
409,Banuli,410
410,ROWENA,411
411,KARDAS,412
412,TEFOSS,413
